capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
899 2.157503423 1.785077029 1.785077029 0.372426394	1.785087874 2.025384984 2.022450318 2.023838862 2.021639297 2.017437137 2.018375043 1.907066861 1.873708155 1.873708155 1.873650149 1.873650149 1.885154690
988 2.157503423 1.785077029 1.785077029 0.372426394	1.785087874 1.987634094 1.987143060 1.988040820 1.985650165 1.981059064 1.981094752 1.881277089 1.840058506 1.840058506 1.851146939 1.851146939 1.849792989
1077 2.157503423 1.785077029 1.785077029 0.372426394	1.785087874 1.950023607 1.948688165 1.952558047 1.947640602 1.938101666 1.939160183 1.857531786 1.811226693 1.811226693 1.836940336 1.836940336 1.837883211
1166 2.157503423 1.785077029 1.785077029 0.372426394	1.785087874 1.917932765 1.918589529 1.920053371 1.915428382 1.905225532 1.905608552 1.838036553 1.799333625 1.799333625 1.819843372 1.819843372 1.823700120
1255 2.157503423 1.785077029 1.785077029 0.372426394	1.785087874 1.886551744 1.890607697 1.892252045 1.885707858 1.877752918 1.877233300 1.821523210 1.793600651 1.793600651 1.810457614 1.810457614 1.817665048
1344 2.157503423 1.785077029 1.785077029 0.372426394	1.785087874 1.862313152 1.867656929 1.867519054 1.862325493 1.854088996 1.854043988 1.811587358 1.792786139 1.792786139 1.801884257 1.801884257 1.816053619
1433 2.157503423 1.785077029 1.785077029 0.372426394	1.785087874 1.840877460 1.848497453 1.847011048 1.840862230 1.831065014 1.831415351 1.801073109 1.793107644 1.793107644 1.798881606 1.798881606 1.813237731
1522 2.157503423 1.785077029 1.785077029 0.372426394	1.785087874 1.823701516 1.833266103 1.830434730 1.824597631 1.814780856 1.814652941 1.796994763 1.792116984 1.792116984 1.793789510 1.793789510 1.812051482
1611 2.157503423 1.785077029 1.785077029 0.372426394	1.785087874 1.812174168 1.822867131 1.819467539 1.811709972 1.802356443 1.802395033 1.794219464 1.792013195 1.792013195 1.793582348 1.793582348 1.812630864
1700 2.157503423 1.785077029 1.785077029 0.372426394	1.785087874 1.803874177 1.815592237 1.811909187 1.802721464 1.795058433 1.794873400 1.793083473 1.790247919 1.790247919 1.792959777 1.792959777 1.811357204
899 2.221661903 1.886258487 1.886258487 0.335403416	1.886269170 2.097813139 2.098025496 2.095978704 2.097183237 2.090809995 2.094554968 1.988282043 1.957030519 1.957030519 1.962848674 1.962848674 1.965582391
988 2.221661903 1.886258487 1.886258487 0.335403416	1.886269170 2.064496949 2.064784794 2.065688960 2.062928490 2.059024978 2.061548862 1.964298093 1.923809001 1.923809001 1.934919948 1.934919948 1.931977633
1077 2.221661903 1.886258487 1.886258487 0.335403416	1.886269170 2.030225917 2.032321373 2.031791505 2.030094065 2.021524573 2.022819158 1.944258369 1.901140672 1.901140672 1.925840253 1.925840253 1.922348137
1166 2.221661903 1.886258487 1.886258487 0.335403416	1.886269170 2.001454032 2.001143946 2.002541859 1.998985865 1.990973312 1.989775582 1.927942791 1.894985061 1.894985061 1.913476192 1.913476192 1.910283996
1255 2.221661903 1.886258487 1.886258487 0.335403416	1.886269170 1.973083905 1.974563787 1.976108169 1.971188419 1.964065822 1.962909390 1.914936887 1.891634287 1.891634287 1.905036483 1.905036483 1.908411716
1344 2.221661903 1.886258487 1.886258487 0.335403416	1.886269170 1.951611639 1.954371550 1.954304858 1.949469085 1.940980603 1.940882759 1.904310278 1.892130184 1.892130184 1.898399839 1.898399839 1.906539211
1433 2.221661903 1.886258487 1.886258487 0.335403416	1.886269170 1.932856057 1.937235000 1.935424521 1.931140215 1.922523803 1.922507124 1.899977576 1.891867296 1.891867296 1.894452974 1.894452974 1.905610643
1522 2.221661903 1.886258487 1.886258487 0.335403416	1.886269170 1.917154943 1.922616182 1.921296026 1.915773457 1.909024911 1.909460633 1.895047888 1.891164870 1.891164870 1.892181378 1.892181378 1.904095128
1611 2.221661903 1.886258487 1.886258487 0.335403416	1.886269170 1.907248143 1.912276922 1.909798926 1.904984061 1.898288907 1.898786840 1.892227790 1.891065213 1.891065213 1.892018179 1.892018179 1.903560903
1700 2.221661903 1.886258487 1.886258487 0.335403416	1.886269170 1.900503568 1.906427459 1.903544529 1.898203650 1.891759540 1.891951018 1.891228410 1.890177053 1.890177053 1.891160561 1.891160561 1.902617807
899 2.145121368 1.775586646 1.775586646 0.369534722	1.775596984 2.012508055 2.011434553 2.013810901 2.011530920 2.005112759 2.005092075 1.894004529 1.864401920 1.864401920 1.866591764 1.866591764 1.873904150
988 2.145121368 1.775586646 1.775586646 0.369534722	1.775596984 1.974676902 1.974613884 1.974728231 1.973732225 1.963765464 1.965987242 1.872017600 1.829096074 1.829096074 1.832277060 1.832277060 1.838787930
1077 2.145121368 1.775586646 1.775586646 0.369534722	1.775596984 1.938495558 1.939429522 1.936716771 1.937727943 1.925816525 1.927606976 1.849167130 1.802590531 1.802590531 1.824156607 1.824156607 1.825087746
1166 2.145121368 1.775586646 1.775586646 0.369534722	1.775596984 1.907184330 1.907217155 1.905267605 1.900846499 1.894168999 1.892318703 1.829884680 1.790018881 1.790018881 1.807908600 1.807908600 1.812935494
1255 2.145121368 1.775586646 1.775586646 0.369534722	1.775596984 1.876204352 1.879689499 1.877488795 1.872222619 1.867100822 1.865011187 1.810526900 1.785346477 1.785346477 1.799516190 1.799516190 1.805738445
1344 2.145121368 1.775586646 1.775586646 0.369534722	1.775596984 1.851655071 1.856216208 1.852553275 1.847830277 1.842280597 1.841158257 1.801117056 1.784393500 1.784393500 1.793444893 1.793444893 1.804171408
1433 2.145121368 1.775586646 1.775586646 0.369534722	1.775596984 1.830017014 1.835758923 1.832183626 1.826767866 1.820450458 1.818765931 1.794025141 1.783848336 1.783848336 1.789079787 1.789079787 1.801801689
1522 2.145121368 1.775586646 1.775586646 0.369534722	1.775596984 1.812885359 1.819294285 1.815637132 1.810649877 1.803517101 1.803097777 1.786873880 1.782120133 1.782120133 1.784642046 1.784642046 1.799796088
1611 2.145121368 1.775586646 1.775586646 0.369534722	1.775596984 1.801746382 1.807768940 1.803416595 1.797464399 1.791838893 1.791624493 1.785357364 1.782727844 1.782727844 1.783278021 1.783278021 1.798771999
1700 2.145121368 1.775586646 1.775586646 0.369534722	1.775596984 1.794373473 1.799372676 1.796232824 1.789373193 1.783898118 1.783720797 1.783849486 1.780611169 1.780611169 1.780922298 1.780922298 1.796461373
899 2.123459573 1.765084833 1.765084833 0.358374740	1.765094663 1.994076772 1.990723364 1.993731850 1.990675200 1.989547066 1.990340698 1.880626603 1.848669094 1.848669094 1.853268873 1.853268873 1.857125777
988 2.123459573 1.765084833 1.765084833 0.358374740	1.765094663 1.958011470 1.956605472 1.955932011 1.957344982 1.948516772 1.949576050 1.855164163 1.812412252 1.812412252 1.817731989 1.817731989 1.823342387
1077 2.123459573 1.765084833 1.765084833 0.358374740	1.765094663 1.921544641 1.921353380 1.920033697 1.919713724 1.914342213 1.914751693 1.833034163 1.787473983 1.787473983 1.809436229 1.809436229 1.810335562
1166 2.123459573 1.765084833 1.765084833 0.358374740	1.765094663 1.891968198 1.890147597 1.886818837 1.887063896 1.881056863 1.880181309 1.815523761 1.775550803 1.775550803 1.797718660 1.797718660 1.799101282
1255 2.123459573 1.765084833 1.765084833 0.358374740	1.765094663 1.861775363 1.862043720 1.858596707 1.858050728 1.850337082 1.850869130 1.798950879 1.772851300 1.772851300 1.786347025 1.786347025 1.792264857
1344 2.123459573 1.765084833 1.765084833 0.358374740	1.765094663 1.838315520 1.839549759 1.834780254 1.835081201 1.824741660 1.824457472 1.788392874 1.772782995 1.772782995 1.779799365 1.779799365 1.789863563
1433 2.123459573 1.765084833 1.765084833 0.358374740	1.765094663 1.817279453 1.819776304 1.817094742 1.813703388 1.806450921 1.805737088 1.779975478 1.771914302 1.771914302 1.776028492 1.776028492 1.787802665
1522 2.123459573 1.765084833 1.765084833 0.358374740	1.765094663 1.800812894 1.805487016 1.801176729 1.798423820 1.790088929 1.789716707 1.774917290 1.771307923 1.771307923 1.772854808 1.772854808 1.786602975
1611 2.123459573 1.765084833 1.765084833 0.358374740	1.765094663 1.789560188 1.793793424 1.789429597 1.785405866 1.779980714 1.779953775 1.771542083 1.768913588 1.768913588 1.771229575 1.771229575 1.785951933
1700 2.123459573 1.765084833 1.765084833 0.358374740	1.765094663 1.781978518 1.786749728 1.782338349 1.777879449 1.771970073 1.772120855 1.770812440 1.769770128 1.769770128 1.770039062 1.770039062 1.785759165
899 2.144790836 1.777667306 1.777667306 0.367123530	1.777678570 2.011445035 2.012080764 2.012212268 2.009108404 2.003337843 2.004037272 1.896314360 1.860477417 1.860477417 1.866263647 1.866263647 1.872015916
988 2.144790836 1.777667306 1.777667306 0.367123530	1.777678570 1.974724735 1.973573466 1.976693642 1.972414808 1.965524051 1.966207609 1.870532922 1.825867489 1.825867489 1.833067194 1.833067194 1.837981612
1077 2.144790836 1.777667306 1.777667306 0.367123530	1.777678570 1.937564681 1.935967648 1.937530283 1.933606826 1.929499710 1.928388420 1.848552597 1.801309807 1.801309807 1.827665003 1.827665003 1.825473433
1166 2.144790836 1.777667306 1.777667306 0.367123530	1.777678570 1.906004307 1.903981674 1.904816540 1.901886948 1.895607994 1.894243410 1.828741692 1.789948038 1.789948038 1.812564422 1.812564422 1.811179042
1255 2.144790836 1.777667306 1.777667306 0.367123530	1.777678570 1.874917156 1.876428438 1.877415223 1.873528400 1.866913985 1.866529350 1.814018305 1.787427492 1.787427492 1.799722795 1.799722795 1.804771300
1344 2.144790836 1.777667306 1.777667306 0.367123530	1.777678570 1.851313424 1.852248241 1.852001746 1.847070630 1.841708243 1.841684634 1.801597346 1.784686736 1.784686736 1.792514448 1.792514448 1.802081553
1433 2.144790836 1.777667306 1.777667306 0.367123530	1.777678570 1.830026242 1.832733671 1.832249867 1.826825793 1.819880367 1.819747397 1.793507526 1.784479398 1.784479398 1.787943858 1.787943858 1.801811370
1522 2.144790836 1.777667306 1.777667306 0.367123530	1.777678570 1.813294135 1.818338521 1.816917638 1.810990697 1.803620874 1.803373092 1.788489041 1.784405317 1.784405317 1.786174393 1.786174393 1.799943514
1611 2.144790836 1.777667306 1.777667306 0.367123530	1.777678570 1.802131294 1.807641980 1.804379057 1.799060597 1.792438163 1.792097072 1.785480740 1.781991897 1.781991897 1.784565345 1.784565345 1.799381527
1700 2.144790836 1.777667306 1.777667306 0.367123530	1.777678570 1.793958127 1.800510056 1.796885813 1.790278458 1.784963626 1.784893616 1.784438517 1.783048016 1.783048016 1.784213609 1.784213609 1.797409726
899 2.224489310 1.882654639 1.882654639 0.341834671	1.882664998 2.098658313 2.096432504 2.098449326 2.096175788 2.092263435 2.092976916 1.985891151 1.953921877 1.953921877 1.958932871 1.958932871 1.961363183
988 2.224489310 1.882654639 1.882654639 0.341834671	1.882664998 2.064439411 2.064114292 2.064953426 2.063138873 2.057399496 2.058741625 1.961369849 1.919991335 1.919991335 1.929094219 1.929094219 1.926862205
1077 2.224489310 1.882654639 1.882654639 0.341834671	1.882664998 2.029343945 2.030674228 2.027213978 2.028191838 2.021620886 2.021196801 1.942225827 1.898590143 1.898590143 1.921530251 1.921530251 1.917826803
1166 2.224489310 1.882654639 1.882654639 0.341834671	1.882664998 2.000658403 2.000929795 1.997186969 1.998870620 1.987533697 1.988385903 1.924910678 1.891748412 1.891748412 1.909689307 1.909689307 1.904698100
1255 2.224489310 1.882654639 1.882654639 0.341834671	1.882664998 1.971848831 1.972543001 1.970808558 1.969757946 1.960762629 1.960935876 1.912063239 1.888957495 1.888957495 1.899759925 1.899759925 1.902350236
1344 2.224489310 1.882654639 1.882654639 0.341834671	1.882664998 1.948742262 1.949074300 1.947715106 1.946051326 1.937741257 1.937794342 1.900037120 1.889594762 1.889594762 1.894367603 1.894367603 1.900299864
1433 2.224489310 1.882654639 1.882654639 0.341834671	1.882664998 1.928311094 1.931093684 1.928183767 1.926625521 1.918568206 1.918288864 1.895196015 1.888355550 1.888355550 1.889906199 1.889906199 1.899730173
1522 2.224489310 1.882654639 1.882654639 0.341834671	1.882664998 1.912697902 1.916144019 1.914817659 1.911264019 1.904021181 1.904042949 1.890583663 1.887764178 1.887764178 1.888932122 1.888932122 1.899181411
1611 2.224489310 1.882654639 1.882654639 0.341834671	1.882664998 1.902557795 1.905620320 1.903245563 1.899786619 1.892861232 1.892800982 1.888121595 1.887304387 1.887304387 1.887142738 1.887142738 1.898118862
1700 2.224489310 1.882654639 1.882654639 0.341834671	1.882664998 1.895726305 1.899979317 1.897126988 1.893261194 1.886978499 1.887198765 1.887341025 1.887117885 1.887117885 1.888173269 1.888173269 1.897400112
899 2.220557321 1.881556269 1.881556269 0.339001052	1.881566471 2.095309814 2.097307790 2.097987938 2.096667582 2.094115111 2.093924505 1.981888087 1.952536164 1.952536164 1.959717081 1.959717081 1.958070637
988 2.220557321 1.881556269 1.881556269 0.339001052	1.881566471 2.060757186 2.063709658 2.061370064 2.062729455 2.059229380 2.059911140 1.959977945 1.918510916 1.918510916 1.928982682 1.928982682 1.923574530
1077 2.220557321 1.881556269 1.881556269 0.339001052	1.881566471 2.026120546 2.025322146 2.025013423 2.024632695 2.022715459 2.021426583 1.938593108 1.894435057 1.894435057 1.919492519 1.919492519 1.913101336
1166 2.220557321 1.881556269 1.881556269 0.339001052	1.881566471 1.997779360 1.993835353 1.994366078 1.993066392 1.990467499 1.990486657 1.922531790 1.888603334 1.888603334 1.906127039 1.906127039 1.901240270
1255 2.220557321 1.881556269 1.881556269 0.339001052	1.881566471 1.968497017 1.966489631 1.967954457 1.965564940 1.963250666 1.961822108 1.908944363 1.887884152 1.887884152 1.898756863 1.898756863 1.898170654
1344 2.220557321 1.881556269 1.881556269 0.339001052	1.881566471 1.946313865 1.945011506 1.943974651 1.941031805 1.938237450 1.938358299 1.898623936 1.886572728 1.886572728 1.891424370 1.891424370 1.896911347
1433 2.220557321 1.881556269 1.881556269 0.339001052	1.881566471 1.926021926 1.926145608 1.926311481 1.922302387 1.918422057 1.919097193 1.893313369 1.887087451 1.887087451 1.888686298 1.888686298 1.896461256
1522 2.220557321 1.881556269 1.881556269 0.339001052	1.881566471 1.910745019 1.912974331 1.912197098 1.908336971 1.903955566 1.904102494 1.888370377 1.885330504 1.885330504 1.886198657 1.886198657 1.895605402
1611 2.220557321 1.881556269 1.881556269 0.339001052	1.881566471 1.900551623 1.902477298 1.900854128 1.897289990 1.892383533 1.892864432 1.885683176 1.886197249 1.886197249 1.885383240 1.885383240 1.895344759
1700 2.220557321 1.881556269 1.881556269 0.339001052	1.881566471 1.893344118 1.896734776 1.894058973 1.890796143 1.886580749 1.886344573 1.886033773 1.885499232 1.885499232 1.884882918 1.884882918 1.894679021
899 2.199102063 1.852325901 1.852325901 0.346776162	1.852336030 2.073235026 2.071558585 2.071543299 2.070952359 2.063601656 2.065081827 1.957481549 1.927615176 1.927615176 1.935056441 1.935056441 1.934444786
